Domain,Summary,Description,Path,Method,Client,Staff,Directory,Internal
scheduling,External app bulk deactivate external items,Bulk deactivate external calendar items.,/business/scheduling/v1/external_calendar_items/bulk_deactivate,PUT,,Y,Y,
scheduling,External app connect,Connect a staff member's calendar to an external calendar provider.,/business/scheduling/v1/external_calendar_items/connect,PUT,,Y,Y,
scheduling,External app deactivate external calendar,Deactivate a specific external calendar.,/business/scheduling/v1/external_calendar_items/deactivate_external_calendar,PUT,,Y,Y,
scheduling,External app disable,Disable calendar sync for a staff member.,/business/scheduling/v1/external_calendar_items/disable,PUT,,Y,Y,
scheduling,External app disconnect,Disconnect a staff member's calendar from an external calendar provider.,/business/scheduling/v1/external_calendar_items/disconnect,PUT,,Y,Y,
scheduling,External app report_sync_status,Report the sync status after completing a calendar sync operation.,/business/scheduling/v1/external_calendar_items/report_sync_status,PUT,,Y,Y,
scheduling,External app start_export,Start exporting vcita calendar events to an external calendar.,/business/scheduling/v1/external_calendar_items/start_export,PUT,,Y,Y,
scheduling,External app stop import,Stop importing events from an external calendar.,/business/scheduling/v1/external_calendar_items/stop_import,PUT,,Y,Y,
scheduling,General availability - Create new time slot,General availability - Create new time slot.,/business/scheduling/v1/time_slots,POST,,Y,Y,
scheduling,General availability - Update time slot,General availability - Update time slot.,/business/scheduling/v1/time_slots/{time_slot_uid},PUT,,Y,Y,
scheduling,General availability - Remove time slot,General availability - Remove time slot,/business/scheduling/v1/time_slots/{time_slot_uid},DELETE,,Y,Y,
scheduling,Get all BusinessAvailabilities,Returns available booking slots for all businesses in your directory with pagination support. This endpoint is useful for building marketplace-style booking interfaces.,/v3/scheduling/business_availabilities,GET,,,Y,
